DHQPID,SRRID,Name,Genus,Fosfomycin.Heteroresistance
DHQP1402215,SRR4065638,CDC-276,Klebsiella,Heteroresistant
DHQP1402217,SRR5666480,CDC-277,Klebsiella,Susceptible
DHQP1402217,SRR4065640,CDC-277,Klebsiella,Susceptible
DHQP1402218,SRR4065641,CDC-278,Klebsiella,Susceptible
DHQP1402218,SRR5666479,CDC-278,Klebsiella,Susceptible
DHQP1402219,SRR4065642,CDC-279,Klebsiella,Heteroresistant
DHQP1402219,SRR5666410,CDC-279,Klebsiella,Heteroresistant
DHQP1402221,SRR5666456,CDC-274,Klebsiella,Heteroresistant
DHQP1402221,SRR4065644,CDC-274,Klebsiella,Heteroresistant
DHQP1402223,SRR5666627,CDC-281,Klebsiella,Heteroresistant
DHQP1402223,SRR4065646,CDC-281,Klebsiella,Heteroresistant
DHQP1402224,SRR5666625,CDC-282,Klebsiella,Heteroresistant
DHQP1402224,SRR4065647,CDC-282,Klebsiella,Heteroresistant
DHQP1500322,SRR4065652,Mu736,Klebsiella,Resistant
DHQP1500324,SRR4065653,Mu754,Klebsiella,Heteroresistant
DHQP1500327,SRR4065663,Mu783,Klebsiella,Heteroresistant
DHQP1500333,SRR4065668,CDC-109,Klebsiella,Heteroresistant
DHQP1500344,SRR4065678,CDC-133,Klebsiella,Susceptible
DHQP1500345,SRR4065679,CDC-140,Klebsiella,Heteroresistant
DHQP1500346,SRR4065680,CDC-150,Klebsiella,Heteroresistant
DHQP1500347,SRR4065689,CDC-156,Klebsiella,Heteroresistant
DHQP1500348,SRR4065698,CDC-158,Klebsiella,Susceptible
DHQP1500350,SRR4065700,CDC-115,Klebsiella,Heteroresistant
DHQP1500352,SRR4065702,CDC-116,Klebsiella,Heteroresistant
DHQP1500512,SRR5666459,Mu808,Klebsiella,Heteroresistant
DHQP1500513,SRR5666458,Mu827,Klebsiella,Heteroresistant
DHQP1500516,SRR5666500,Mu940,Klebsiella,Resistant
DHQP1500519,SRR5666531,CDC-134,Klebsiella,Heteroresistant
DHQP1500526,SRR5666461,CDC-131,Klebsiella,Heteroresistant
DHQP1500535,SRR5666468,CDC-125,Klebsiella,Heteroresistant
DHQP1500537,SRR5666437,CDC-127,Klebsiella,Heteroresistant
DHQP1500544,SRR5666496,CDC-136,Klebsiella,Heteroresistant
DHQP1500545,SRR5666440,CDC-137,Klebsiella,Heteroresistant
DHQP1500546,SRR5666533,CDC-138,Klebsiella,Heteroresistant
DHQP1500547,SRR5666441,CDC-139,Klebsiella,Heteroresistant
DHQP1500548,SRR5666442,CDC-141,Klebsiella,Heteroresistant
DHQP1500549,SRR5666443,CDC-142,Klebsiella,Heteroresistant
DHQP1500550,SRR5666534,CDC-143,Klebsiella,Heteroresistant
DHQP1500551,SRR5666535,CDC-144,Klebsiella,Heteroresistant
DHQP1500552,SRR5666536,CDC-145,Klebsiella,Heteroresistant
DHQP1500553,SRR5666444,CDC-146,Klebsiella,Heteroresistant
DHQP1500555,SRR5666436,CDC-148,Klebsiella,Resistant
DHQP1500561,SRR5666537,CDC-151,Klebsiella,Heteroresistant
DHQP1500563,SRR5666538,CDC-152,Klebsiella,Heteroresistant
DHQP1500565,SRR5666417,CDC-153,Klebsiella,Heteroresistant
DHQP1500566,SRR5666418,CDC-154,Klebsiella,Heteroresistant
DHQP1500568,SRR5666416,CDC-121,Klebsiella,Heteroresistant
DHQP1500569,SRR5666415,CDC-157,Klebsiella,Heteroresistant
